# claims-machine.txt — atomic claims decomposed from the AI Index 2026 coding section
# (Stanford HAI, AI Index Report 2026, Ch.2 Technical Performance, §2.5 "Software", printed pp100–102).
# Report → argument-tree corpus; the argument side is argument.txt.
#
# This is the CLAIM side of the assay. Held SOURCES are report.pdf itself and seven Wayback captures
# of the three benchmark leaderboards (sources/MANIFEST.md "Leaderboard captures"). Two checks follow:
# INTERNAL CONSISTENCY against report.pdf (does the section state the claim at its `ref` page; do the
# prose figures agree with the figure they restate), and GROUNDING a route=benchmark score against a
# held capture — which grounds the leaderboard's state at the CAPTURE timestamp, bracketing the
# report's "as of February 2026" / "early 2026" snapshot rather than reproducing it. So a benchmark
# claim grounds where a capture carries its value (e.g. SWE-bench 76.80, Terminal-Bench 77.3%, Vibe
# Code Bench 57.57%) and stays unverifiable where the report's snapshot falls between captures (the
# Vibe Code Bench v1.1 leader ordering — sources/MANIFEST.md "capture gap").
#
# Line format (pipe-delimited, 5 fields):
#   <id> | route=<r> | ref=§<section heading> p<printed-page> | <claim> | src=<locator + note>
#
# route= (what could settle the claim; see CLAUDE.md axis boundary):
#   benchmark  — a score/result FROM a benchmark leaderboard. Truth-maker = the leaderboard state the
#                report read (as of Feb 2026 / early 2026), now HELD as Wayback captures that bracket
#                that date (sources/MANIFEST.md). report.pdf still settles internal consistency (is the
#                number printed here; does the prose agree with its figure). This is the corpus's
#                dominant class.
#   evidence   — a non-score factual world-claim (a benchmark's definition, a novelty claim, a
#                figure-reading). Truth-maker external, not held; report.pdf settles internal
#                consistency only.
#   evaluative — an AI Index interpretive judgement ("attention has shifted", "significantly improved",
#                "remains a difficult task"). Not truth-apt; checkable only as "did the section say
#                it", never grounded. Not judged.
#   data-gap   — a claim about the section's own dating / measurement limits.
#
# src= names the held locator (report.pdf + printed page) and the real truth-maker — for benchmark
# claims, the leaderboard capture that carries it (leaderboards/…) or, where none does, why it stays
# `unverifiable`. An `INTERNAL:` note flags where the prose
# figure and the figure it restates appear to disagree — the internal-consistency check a judge run
# against report.pdf is meant to catch. § headings are the report's own; printed page = footer number.

# ══ §2.5 Performance in Specific Domains — parent framing (p100) ══
SEC1 | route=evaluative | ref=§2.5 Performance in Specific Domains p100 | As AI models have improved on general reasoning and knowledge benchmarks, attention has shifted to how well they perform on tasks requiring specialized expertise. | src=report.pdf p100
SEC2 | route=evidence   | ref=§2.5 Performance in Specific Domains p100 | The benchmarks in this section test models in four professional and academic domains: coding, mathematics, finance, and legal reasoning. | src=report.pdf p100; this excerpt holds only the coding subsection
SEC3 | route=evaluative | ref=§2.5 Performance in Specific Domains p100 | Many of these benchmarks are new, reflecting growing demand for domain-specific evaluation. | src=report.pdf p100
SEC4 | route=data-gap   | ref=§2.5 Performance in Specific Domains p100 | Unless otherwise noted, the results reflect model performance as of early 2026. | src=report.pdf p100; dates the whole section's figures

# ══ §Software — coding intro (p100) ══
SW1 | route=evaluative | ref=§Software p100 | Coding benchmarks test whether models can go beyond answering questions about code and actually write, debug, and ship working software. | src=report.pdf p100
SW2 | route=evidence   | ref=§Software p100 | The coding tasks range from resolving real GitHub issues to building full web applications from scratch. | src=report.pdf p100
SW3 | route=evaluative | ref=§Software p100 | This range reflects a shift in evaluation toward measuring what models can deliver end to end rather than in isolated snippets. | src=report.pdf p100; the section's stated thesis (argument.txt root)

# ══ §SWE-bench (p100–101) ══
SB1 | route=evidence   | ref=§SWE-bench p100 | SWE-bench evaluates models on their ability to resolve real-world software issues collected from GitHub. | src=report.pdf p100; truth-maker: SWE-bench Leaderboard — held (leaderboards/swebench-20260205|0226|0403.txt)
SB2 | route=evidence   | ref=§SWE-bench p100 | Each SWE-bench task gives the model a codebase and an issue description, and the model has to produce a working patch. | src=report.pdf p100
SB3 | route=evidence   | ref=§SWE-bench p100 | SWE-bench Lite is a smaller, more accessible subset. | src=report.pdf p100
SB4 | route=evidence   | ref=§SWE-bench p100 | SWE-bench Verified uses human-validated issues to ensure more consistent and accurate grading. | src=report.pdf p100
SB5 | route=benchmark  | ref=§SWE-bench p100 | On SWE-bench Verified, top models are tightly clustered in the low-to-mid 70s. | src=report.pdf p100 + Figure 2.5.1 p101; as of Feb 2026; truth-maker: SWE-bench Leaderboard — held (leaderboards/swebench-20260226.txt: 76.80 down to a 74–72 cluster)
SB6 | route=benchmark  | ref=§SWE-bench p100 | As of February 2026, Claude 4.5 Opus (high reasoning) led SWE-bench Verified at approximately 76.8%. | src=report.pdf p100; Figure 2.5.1 top Verified bar reads 76.80% (agrees); truth-maker: leaderboard — held (leaderboards/swebench-20260226.txt top row Claude 4.5 Opus high reasoning 76.80, agrees)
