# claims-machine.txt — atomic claims decomposed from "Surviving human-to-AI coding: master plan"
# (draft v8, 2026-09-06). Report → argument-tree corpus; the argument side is argument.txt.
#
# This is the CLAIM side of the assay. The TARGET is report.md (the plan). Held SOURCES (five, per
# sources/MANIFEST.md): report.md itself; refuter-runs-2026-08-15.md (the IPP refuter evidence doc);
# and three companion docs the plan references — flt-kloc-review.md (the FLT/Prove2Me companion),
# software-correctness.md ("Making Software Correct", the doc behind the PDF-library method), and
# vuln-finder-hive.md (the security / vulnerability-finder companion). The plan is a STRATEGY/DESIGN
# document, not a survey, so most claims are normative prescriptions. A claim whose truth-maker is one
# of the five held docs is groundable (or internal-consistency-checkable); a claim whose truth-maker
# is internal PaperCut data (the codec review doc, redaction records, WPP lab, the PDF production
# defect record) or an un-held primary paper grounds to `unverifiable` by design (MANIFEST "Not held").
# NOTE (Rule 8b): the three companions are PaperCut's own write-ups. Grounding WT4/ST4 against
# flt-kloc-review.md corroborates against our summary, not the primary (the arXiv/Anthropic sources,
# not held); the src note says so where it bites.
#
# Line format (pipe-delimited, 5 fields):
#   <id> | route=<r> | ref=§<section heading> | <claim, the plan's own assertion> | src=<locator + note>
#
# route= (what could settle the claim; see CLAUDE.md axis boundary):
#   result     — an empirical outcome / measurement from internal PaperCut work (codec, PDF library,
#                redaction, WPP). Truth-maker = an evidence doc. HELD for R-REF (refuter-runs) and for
#                the PDF-method / 6-month-criterion results (software-correctness.md); NOT held for the
#                codec/WPP/redaction results and the several-years PDF outcome → those `unverifiable`.
#   citation   — a claim about external literature or a named external artifact (Kuhn/Wallace/Gallo;
#                the FLT formalisation; poppler/mupdf/qpdf/pdftk/pikepdf; WPP). WT4/ST4 are held as the
#                companion flt-kloc-review.md (corroboration, not the primary — Rule 8b); the rest are
#                not held → grounding `unverifiable`; report.md settles internal consistency only.
#   method     — a normative rule, prescription, or design premise the plan asserts. Not truth-apt;
#                checkable only as "did the plan say it", never grounded. The plan's argument content.
#   prediction — a claim tagged [improves]/[decays] or otherwise about future model strength.
#                Unverifiable by design (the truth-maker is in the future).
#   definition — a glossary term from §Words used in this document. Not truth-apt.
#   data-gap   — a claim about the plan's OWN limits: what it does not settle, or a figure it grades
#                provisional. Internal-consistency-checkable against report.md only.
#
# src= names the held locator (report.md + § heading) and, where the real truth-maker is not held,
# names it so a grounding run's `unverifiable` is legible. `restates <id>` marks a deliberate
# cross-section duplicate whose figures must agree (an internal-consistency check). § headings are the
# plan's own; report.md is markdown (no pages), so the check is "does the plan state this at this §".

# ══ §Overview ══
OV1  | route=method     | ref=§Overview | AI can now write more code than we can read; a 13,000-line pull request is not reviewable by a person. | src=report.md §Overview; corroborated by software-correctness.md (humans struggle with large code they can't break down)
OV2  | route=method     | ref=§Overview | If we keep reviewing by reading, either the code doesn't get read or it doesn't get written. | src=report.md §Overview; corroborated by software-correctness.md
OV3  | route=method     | ref=§Overview | The answer is to stop reviewing the code, review the test instead, and let the test review the code. | src=report.md §Overview; the plan's thesis (argument.txt root)
OV4  | route=method     | ref=§Overview | A test written and approved once can accept any number of AI-written changes; a person reads only what no test can cover. | src=report.md §Overview
OV5  | route=method     | ref=§Overview | A test is only as good as the inputs it runs on: if the inputs don't look like what customers send, the test passes and the customer finds the bug. | src=report.md §Overview
OV6  | route=method     | ref=§Overview | The hard part is not writing tests; it is knowing what inputs to feed them, and that differs per piece of work. | src=report.md §Overview
OV7  | route=method     | ref=§Overview | The three pieces of work get harder in this order: document products (easy), WPP (hard), security (hardest). | src=report.md §Overview
OV8  | route=result     | ref=§Overview | Document products are easy: PDFs come from a small, known set of printer drivers; we already did this and it worked — no customer-reported PDF bug in several years. | src=report.md §Overview; "no bug in N years" claim; method + 6-month success criterion held in software-correctness.md; the several-years outcome's truth-maker (PDF production defect record) NOT held → outcome unverifiable; restates DP2
OV9  | route=method     | ref=§Overview | WPP is hard: the thing we have to match is inside Windows, closed source, and we can only see part of it. | src=report.md §Overview
OV10 | route=method     | ref=§Overview | Security is hardest: the input comes from an attacker who adapts to us, and nothing about the easy case carries over. | src=report.md §Overview
OV11 | route=method     | ref=§Overview | Four rules: a test doesn't count until it has been seen to fail; a test must not share code with the code it checks; a test must say when it didn't look; prefer changes that alter no behaviour. | src=report.md §Overview; restated in §The loop, §Tests are code too
OV12 | route=result     | ref=§Overview | What we measure is public functions covered by an approved test, per hour of human review; first measurement about half a function per review-hour, on the IPP wire codec, review time recalled not timed. | src=report.md §Overview; truth-maker: IPP codec review record (not held); restates ME6
OV13 | route=method     | ref=§Overview | What we don't do: buy better code generators, write better review prompts, rewrite old code from a spec, or count lines. | src=report.md §Overview; restates AV block

# ══ §Words used in this document (glossary) ══
GL1  | route=definition | ref=§Words used in this document | Checker: anything that says pass or fail about a change without a person reading it — a test, a comparison against an independent program, a round trip, a real device. | src=report.md §Words
GL2  | route=definition | ref=§Words used in this document | Test: an automated test in the ordinary Go sense — a _test.go function that passes or fails, either a property or a check over a fixed set of files. | src=report.md §Words
GL3  | route=definition | ref=§Words used in this document | Refuter: the run that proves a test can fail — revert the code the test guards, run the test, see it go red; mutation testing with a single, known mutation. | src=report.md §Words
GL4  | route=definition | ref=§Words used in this document | Statement: a test plus a plain-English description of what it checks, with a refuter on record; the unit a person approves instead of the code. | src=report.md §Words
GL5  | route=definition | ref=§Words used in this document | Declaration: Go's word for a top-level func, type, var, const or method; the unit we count. | src=report.md §Words
GL6  | route=definition | ref=§Words used in this document | Producer: whatever creates the inputs a piece of code receives — a printer driver, a Windows print stack, an attacker; not a property-test generator. | src=report.md §Words
GL7  | route=definition | ref=§Words used in this document | Partition: a part of the codebase whose inputs all come from the same kind of producer. | src=report.md §Words
GL8  | route=definition | ref=§Words used in this document | Cell: one producer, one application, one version — the unit we count coverage in. | src=report.md §Words
GL9  | route=definition | ref=§Words used in this document | Differential testing: run our code and an independent implementation on the same input and compare results. | src=report.md §Words
GL10 | route=definition | ref=§Words used in this document | Closed: a declaration is closed when its test passes, its refuter is on record, and its description has been read and approved. | src=report.md §Words

# ══ §Goal ══
GO1  | route=method     | ref=§Goal | The goal is to survive the transition to AI-generated code — not to build the best AI coder or reviewer. | src=report.md §Goal; argument.txt root context
GO2  | route=method     | ref=§Goal | We start from a legacy of working code with no written specification for most of it. | src=report.md §Goal
GO3  | route=method     | ref=§Goal | The three pieces of work (WPP, document-based products, security) look like the same problem but aren't; ordering them easiest to hardest is the main thing this document has to say. | src=report.md §Goal

# ══ §The principles ══
PR1  | route=method     | ref=§The principles | Use one check for many changes wherever you can; where you can't, a human reads the change; work to make that second pile smaller. | src=report.md §The principles; the plan's first principle
PR2  | route=method     | ref=§The principles | A check is only as good as the inputs you feed it: know what population your inputs sample, and where that sample is thin. | src=report.md §The principles; the plan's second principle
PR3  | route=prediction | ref=§The principles | The plan runs over years and models will get stronger; claims hold at any model strength unless tagged [improves] or [decays]. | src=report.md §The principles; scope tag convention

# ══ §Why the test, not the code ══
WT1  | route=method     | ref=§Why the test, not the code | There are three ways to trust machine-written code: one check for many changes (scales), read each change (does not scale — the 13 KLOC PR), approve the statement (scales wherever a test can be written). | src=report.md §Why the test
WT2  | route=method     | ref=§Why the test, not the code | Every earlier shift (assembly→compilers, hand code→libraries) worked because we could trust the tool that produced the code; that does not work for an LLM. | src=report.md §Why the test
WT3  | route=method     | ref=§Why the test, not the code | The model we use will be replaced repeatedly, and trust in one version says nothing about the next; the only thing fixed across model versions is the test, so trust has to live in the test. | src=report.md §Why the test; core thesis support
WT4  | route=citation   | ref=§Why the test, not the code | The FLT formalisation worked because Lean's kernel checked every statement automatically, so nobody read the 13 million lines. | src=report.md §Why the test; truth-maker held as flt-kloc-review.md (13M lines of Lean, kernel checks every step); primary (Anthropic research / arXiv:2608.28433) NOT held (Rule 8b corroboration only)
WT5  | route=method     | ref=§Why the test, not the code | We have no kernel, so a statement here has to bring its own check — a test. | src=report.md §Why the test

# ══ §What a statement is ══
ST1  | route=method     | ref=§What a statement is | A statement has two parts: an automated test that returns pass or fail, and a plain-English description of what the test checks with every assumption spelled out. | src=report.md §What a statement is
ST2  | route=method     | ref=§What a statement is | A failure is proof of a defect; a pass is only the absence of a counterexample within what was tried. | src=report.md §What a statement is
ST3  | route=method     | ref=§What a statement is | When we ask whether a statement is shorter than the code it accepts, we measure the test, not the description. | src=report.md §What a statement is
ST4  | route=citation   | ref=§What a statement is | Prove2Me, the platform behind the FLT proof, has the same pair: the Lean type is the check, the natural-language description is what humans read. | src=report.md §What a statement is; truth-maker held as flt-kloc-review.md (proof-sketch = NL description + Lean statement; blinded read-back); primary NOT held (Rule 8b)
ST5  | route=method     | ref=§What a statement is | A test is not a statement until it has a refuter: revert the code the test guards, run it, watch it go red; a test that stays green with the code reverted is checking nothing. | src=report.md §What a statement is
R-REF | route=result    | ref=§What a statement is | When we ran refuters on the IPP library in August (refuter runs, 2026-08-15), two of six tests could not fail. | src=report.md §What a statement is; truth-maker: refuter-runs-2026-08-15.md (HELD) — summary table marks 217e650 and 4b7f57a "no" (2 of 6); groundable
ST6  | route=method     | ref=§What a statement is | The refuter is mutation testing with one mutation and only proves the test catches the one defect broken on purpose; it says nothing about defects we have not seen. | src=report.md §What a statement is; corroborated by refuter-runs-2026-08-15.md §217e650, §4b7f57a
ST7  | route=method     | ref=§What a statement is | A test must say "didn't look" as well as "found nothing": a pass that could also mean the checker never examined the input is not a pass. | src=report.md §What a statement is
ST8  | route=result     | ref=§What a statement is | A redaction scan of a PDF whose text is an image finds zero matches and looks identical to a clean document; the tool has to report that it could not see. | src=report.md §What a statement is; truth-maker: redaction tooling record (not held)
ST9  | route=result     | ref=§What a statement is | The codec property test counts how many inputs the writer refused before the round trip ran: 0 refused out of 10,000 is what makes 10,000 passes mean 10,000. | src=report.md §What a statement is; truth-maker: codec review doc (not held); restates WP3
ST10 | route=method     | ref=§What a statement is | Where a statement lives: the test is a _test.go function, the description is its doc comment, the refuter is a dated entry under docs/reviews/ quoting the red run and its commit; whether to make refuters executable is open. | src=report.md §What a statement is

# ══ §The loop ══
LP1  | route=method     | ref=§The loop | You don't know the right test until the code has failed it a few times; what you keep is the version of the test that stopped changing. | src=report.md §The loop
LP2  | route=result     | ref=§The loop | In the codec work, a generated date with year 57760 read back as −7776 because the test had no condition about year range; the writer was changed to refuse such dates and the test amended. | src=report.md §The loop; truth-maker: codec review doc (not held); restates WP4
LP3  | route=result     | ref=§The loop | Then integers wider than 32 bits read back wrong for the same reason, and the test was amended again; after a few rounds the test stopped changing. | src=report.md §The loop; truth-maker: codec review doc (not held); restates WP6b
LP4  | route=citation   | ref=§The loop | The PDF library update established the rule: run the checks while you're developing, over and over, not once at the end. | src=report.md §The loop; corroborated by software-correctness.md (ran the automation iteratively over a week); the linked PDF-library Google Doc not separately held
LP5  | route=method     | ref=§The loop | Count the review time for every version of the test, not just the last, and report the number of revisions alongside; write the first draft before the code. | src=report.md §The loop
LP6  | route=method     | ref=§The loop | The bet: this pays off only if the test plus its description, all revisions counted, is shorter to write and review than the code it accepts. | src=report.md §The loop; names its falsifier (test+desc length vs code length)
LP7  | route=method     | ref=§The loop | For no-behaviour-change work the bet is nearly guaranteed; for new behaviour each function needs its own test and whether that is shorter is the open question — the two do not stand or fall together. | src=report.md §The loop; restates NS2

# ══ §Choosing what to work on ══
CH1  | route=method     | ref=§Choosing what to work on | Choose by how good a checker is available, not by where the pain is. | src=report.md §Choosing what to work on
CH2  | route=method     | ref=§Choosing what to work on | Before a partition, answer: what checker exists; what inputs it runs on and how they were chosen; what it observes; how long a person takes to triage each failure. | src=report.md §Choosing what to work on
CH3  | route=prediction | ref=§Choosing what to work on | Triage time falls as models improve [improves], so partitions too expensive to triage today may not be next year; re-ask per model generation. | src=report.md §Choosing what to work on
CH4  | route=data-gap   | ref=§Choosing what to work on | Nobody has computed a number from these questions; they are a checklist, not a formula. | src=report.md §Choosing what to work on
CH5  | route=prediction | ref=§Choosing what to work on | Differential testing catches transcription errors reliably and shared misunderstandings not at all, and this gets worse as models read more [decays]. | src=report.md §Choosing what to work on
CH6  | route=method     | ref=§Choosing what to work on | The model writing our code has read poppler and mupdf; if it reproduces a misreading of the PDF spec poppler also contains, the two agree and the comparison passes. | src=report.md §Choosing what to work on; the shared-code blind spot, stated once here

# ══ §Sampling: what to feed the checker ══
SA1  | route=method     | ref=§Sampling | Sampling is the precondition, and it is harder than building the checker. | src=report.md §Sampling
SA2  | route=method     | ref=§Sampling | Random inputs don't work: if a bug needs three unusual conditions each showing up one input in ten, a random input hits all three one time in a thousand; four conditions, one in ten thousand. | src=report.md §Sampling; numbers 1-in-10, 1-in-1,000, 1-in-10,000
SA3  | route=citation   | ref=§Sampling | The standard answer is combinatorial testing: build the input set so every pair or triple of conditions appears together at least once — affordable because most software failures are triggered by two or three conditions (Kuhn, Wallace and Gallo, IEEE TSE 30(6), 2004). | src=report.md §Sampling; truth-maker: Kuhn/Wallace/Gallo IEEE TSE 30(6) 2004 (not held)
SA4  | route=result     | ref=§Sampling | Real inputs are cheaper still: they are made by a small number of producers, each making the same choices every time, so a few hundred real files cover the combinations that actually occur — this is why the PDF corpus worked. | src=report.md §Sampling; number "a few hundred"; grounded in software-correctness.md (few PDF generators share behaviours; a handful of patterns)
SA5  | route=method     | ref=§Sampling | Producers cluster by time, customer and application, giving a coverage count: which producer × application × version cells we hold, and which shipped cells are empty. | src=report.md §Sampling; producer clustering corroborated by software-correctness.md
SA6  | route=method     | ref=§Sampling | Customers cluster too, so a pattern that is 0.1% of global traffic can be 100% of one customer's; sample evenly across cells, never in proportion to volume. | src=report.md §Sampling; numbers 0.1% / 100%
SA7  | route=method     | ref=§Sampling | New driver versions open new cells so the corpus goes stale; watch the fraction of newly seen inputs that match no held cell. | src=report.md §Sampling
SA8  | route=method     | ref=§Sampling | Independent implementations (poppler, mupdf) are weakest on common files and strongest on our tail — enterprise MFP drivers, line-of-business applications, old versions at regulated customers. | src=report.md §Sampling
SA9  | route=method     | ref=§Sampling | Everything above assumes the producer doesn't care about us; an attacker changes inputs based on our responses, can read our product, and creates inputs no driver would — so random sampling is back to hopeless. | src=report.md §Sampling; the attacker case grounded in vuln-finder-hive.md (attacker holds shipped code; cost-to-find dominates)
SA10 | route=method     | ref=§Sampling | The case is decided by who makes the input, not which product the code is in: a redaction feature in a document product parses attacker-chosen input and belongs to the security case. | src=report.md §Sampling; "who makes the input decides the case" grounded in vuln-finder-hive.md (the instance travels, the reason for it doesn't; threat-model move)

# ══ §Which AI-written changes are eligible ══
EL1  | route=method     | ref=§Which changes are eligible | Changes that alter no behaviour (refactor, consolidation, port, dedup) already have a checker — the old code; run old and new on the same inputs and compare, and start there. | src=report.md §Eligible
EL2  | route=method     | ref=§Which changes are eligible | Three things a person still decides for a no-behaviour-change comparison: which inputs to run, what to compare (bytes, rendered output, both), and how close counts as equal. | src=report.md §Eligible
EL3  | route=method     | ref=§Which changes are eligible | New behaviour goes through the loop wherever a test can be written; where it cannot, a human reads it and it stays small — the whole rule is whether a test can be written or not. | src=report.md §Eligible
EL4  | route=method     | ref=§Which changes are eligible | Exception: where keeping old behaviour means keeping a security hole (redaction, sanitisation, parsing untrusted input), "the old code is the spec" is wrong; a person marks each extracted statement keep or fix before any AI change. | src=report.md §Eligible

# ══ §Three cases — Document-based products (easy) ══
DP1  | route=method     | ref=§Document-based products | The producer is a printer driver — a small, known, fixed set; independent implementations exist (mupdf, poppler, qpdf, pdftk, pikepdf) and the corpora are large. | src=report.md §Document-based products; producer=printer-driver grounded in software-correctness.md; the named independent impls (mupdf/poppler/qpdf/pdftk/pikepdf) NOT held as code/eval
DP2  | route=result     | ref=§Document-based products | The PDF library update shipped with a stated success criterion — no serious bugs from product testing or customers in the first six months — and over several years in production there has been no customer-reported PDF defect. | src=report.md §Document-based products; "no bug in N years" claim; 6-month success criterion held in software-correctness.md; several-years-no-defect outcome truth-maker (production defect record) NOT held → outcome unverifiable; restates OV8
DP3  | route=data-gap   | ref=§Document-based products | Caveats: it is one project, self-reported; exposure figures are order-of-magnitude estimates; the author found and fixed bugs himself after shipping; and the reporting channel is weak. | src=report.md §Document-based products; author-found-bugs-after-shipping corroborated by software-correctness.md ("ran automation iteratively over a week to fix bugs"); the exposure estimates NOT held
DP4  | route=data-gap   | ref=§Document-based products | A count of PDF defects reported through that channel before the method is needed before this result carries more weight than "promising". | src=report.md §Document-based products; restates NS3
DP5  | route=method     | ref=§Document-based products | Five parts of the PDF method transfer and one does not: (a) bound inputs by producers, (b) bound functions by product settings, (c) choose corpus files by origin not count, (d) checks that need no spec, (e) run checks during development; (f) one person who chose what to sample does NOT transfer. | src=report.md §Document-based products; (a)/(c)/(d)/(e) grounded in software-correctness.md (bound by producers; corpus by origin; rasterize+count / grayscale compare; run repeatedly); (b) product-function list and (f) the person are the plan's own
DP6  | route=method     | ref=§Document-based products | (f) does not transfer, and everything about extraction and succession is an attempt to replace (f). | src=report.md §Document-based products
DP7  | route=method     | ref=§Document-based products | The loop here is an experiment stated in advance: can an AI extract statements from existing code well enough that a reviewer reading only the statements spots the bugs — tested on the bugs the author found and fixed after shipping. | src=report.md §Document-based products
DP8  | route=method     | ref=§Document-based products | Criterion: the reviewer's marks identify at least K of the N post-ship bugs (K fixed before the run); control is the same reviewer reading code directly on the other half; recorded are test size, review minutes over revisions, and revisions per function. | src=report.md §Document-based products

# ══ §Three cases — WPP (hard) ══
WP1  | route=method     | ref=§WPP | The producer is Windows: one producer, closed source, many versions, and we can observe only some of what it does. | src=report.md §WPP
WP2  | route=result     | ref=§WPP | We can check automatically the wire protocol layer (client and server written as mirror images), conformance with ipptool, and behaviour on the handful of real printers in the lab; we cannot check whether Windows matches what we assumed. | src=report.md §WPP; truth-maker: WPP lab record (not held)
WP-65 | route=result    | ref=§WPP | Our own 65/65 result measured PDFs received, not the transport binding it was meant to measure — a passing check watching the wrong thing. | src=report.md §WPP; truth-maker: WPP 65/65 record (not held); restates TC5
WP2b | route=method     | ref=§WPP | The statements are the WPP install gates; the number reported is the count of gates that cannot be made into a test (only check: "Windows installed it"), because those are the ones a human still reads. | src=report.md §WPP
WP3  | route=result     | ref=§WPP | First result (2026-09-05, branch human-to-ai/rapid-ipp-codec, evidence docs/reviews/2026-09-05-rapid-ipp-codec.md @ a46a4b7): a property test over the IPP wire codec — any message the writer accepts, once written and read back, equals the original — over Rapid's full-wire-range generators. | src=report.md §WPP; truth-maker: 2026-09-05-rapid-ipp-codec.md (not held)
WP3b | route=result     | ref=§WPP | Eleven commits, each with a refuter on record; about 5.5 hours of agent time across five prompts and roughly two hours of human review. | src=report.md §WPP; numbers 11 commits, 5.5 agent-hrs, 5 prompts, ~2 review-hrs; truth-maker: codec review doc (not held); restates ME7
WP4  | route=result     | ref=§WPP | The property itself found nothing: zero counterexamples in 10,000 checks, with 0 inputs refused, so all 10,000 were real; its refuter is the same test failing at the commit before be9e85c on a year overflow (57760 → −7776) that shipped, so it can see at least one real bug. | src=report.md §WPP; numbers 10,000 / 0 / 57760 / −7776; be9e85c; restates ST9, LP2; truth-maker: codec review doc (not held)
WP5  | route=result     | ref=§WPP | Building it found four bugs: two in the codec (small integer types changed value — uint8(200) came back as −56 — and integers too large for 32 bits, and floats, were silently truncated onto the wire) and two in the validator (it crashed outside a special build, and it compared a string containing the current time). All four fixed, each with a refuter. | src=report.md §WPP; numbers 4 bugs, uint8(200)→−56, 32-bit; truth-maker: codec review doc (not held)
WP6  | route=result     | ref=§WPP | The test could not see one bug and passed over it twice: the writer, its validator, and the printer of the compared values all call the same toInt32, which truncates; the property passed 10,000 checks with the truncation present and passed again with the fix reverted. The bug was found by a plain table test that shares nothing with the writer. | src=report.md §WPP; the shared-code blind spot result; truth-maker: codec review doc (not held); restates TC1
WP7  | route=result     | ref=§WPP | A refuter checks behaviour not design: the first timestamp fix added a flag and a second rendering method and its refuter passed; the proper fix (move the timestamp to the log line, delete the second method) passed the same refuter and cost more agent time — the fix shape is a human's call and was skipped once before it was made. | src=report.md §WPP; truth-maker: codec review doc (not held); restates TC6
WP8  | route=result     | ref=§WPP | Against the plan: the test's value was mostly in what building it forced us to look at; its blind spot was exactly where it shared code with its subject; the expensive step was human review. First metric: one declaration closed in about two review-hours — 0.5 declarations per review-hour, review time recalled not timed. | src=report.md §WPP; number 0.5 decl/review-hr; restates ME6, OV12; truth-maker: codec review doc (not held)

# ══ §Three cases — Security (hardest) ══
SE1  | route=method     | ref=§Security | The producer is an attacker: it has our product, changes its next input based on our last response, and is not limited to any bug class we have seen, so we cannot list its inputs; this case also covers every untrusted-input path in the other two products. | src=report.md §Security; grounded in vuln-finder-hive.md (attacker economics; adaptive producer; covers untrusted-input paths)
SE2  | route=method     | ref=§Security | The loop is a deterministic exploit check plus adversarial simulation: point an LLM at the shipped product with no internal knowledge; anything it finds that our own review missed is a measured gap. | src=report.md §Security; grounded in vuln-finder-hive.md line B (blinded simulation) + line A (enumerate attack surface)
SE3  | route=method     | ref=§Security | Three non-negotiables: the blind (if it sees our findings/history/notes it is simulating us, not an attacker, and the result is void); a deterministic check (looking at the response not the path certifies attacks that never happened); several runs and a known positive (one run is one sample; finding nothing means nothing until the instrument has found something). | src=report.md §Security; grounded in vuln-finder-hive.md (line B blind; positives are the measured gap, negatives weak; baseline needs pinned model set)
SE4  | route=prediction | ref=§Security | Use more than one model family and a human red team, because our model's blind spots are the attacker's model's blind spots but not a human attacker's [decays]. | src=report.md §Security; corroborated by vuln-finder-hive.md (model set/versions must be pinned in the manifest; blind held across a cloud org is open)
SE5  | route=method     | ref=§Security | Re-run every model release against the frozen exploit checks and count what the new model finds that they miss — that count is the rate at which our security tests go stale; a test with no such measurement since the last release should be treated as unreviewed. | src=report.md §Security; corroborated by vuln-finder-hive.md (a prior AI review is a baseline only if model versions were pinned at the time)
SE6  | route=data-gap   | ref=§Security | None of this gives a coverage figure until we have listed every externally reachable entry point — that list is the denominator, and it is a day's work that has not been done. | src=report.md §Security; grounded in vuln-finder-hive.md line A (the only line that yields a coverage denominator, goes first); restates NS5

# ══ §What to avoid ══
AV1  | route=method     | ref=§What to avoid | Avoid anything that still needs a human per change: better code generators (acceptance, not generation, is the bottleneck), better review prompts, specifications without tests, tests without refuters, checkers that share code with what they check, trusting a model version as if it were a compiler, counting lines or defects per KLOC. | src=report.md §What to avoid; restates OV13
AV2  | route=method     | ref=§What to avoid | Avoid anything that samples the wrong inputs: random inputs, corpora weighted by traffic volume, filing code by product instead of by who produces its input, and using the PDF result as evidence about WPP or security. | src=report.md §What to avoid

# ══ §What we measure ══
ME1  | route=method     | ref=§What we measure | Main number: exported declarations closed per hour of human review — exported only so it can't be inflated by splitting helpers, though it can be gamed by moving code into internal/, so it is reported alongside statements per partition, lines accepted, and revisions per declaration. | src=report.md §What we measure
ME2  | route=method     | ref=§What we measure | Paired with bugs that escaped, per closed declaration, measured later; neither number is reported without the other. | src=report.md §What we measure
ME3  | route=method     | ref=§What we measure | Coverage: producer × application × version cells held against cells shipped, and how fast that goes stale — no cell count, no coverage claim. | src=report.md §What we measure
ME4  | route=method     | ref=§What we measure | Reach: the fraction of each partition that no test could cover and a human still reads. | src=report.md §What we measure
ME5  | route=method     | ref=§What we measure | Evidence grade: a figure is provisional until every number in it has a producing command or a timestamp; provisional figures may be tracked but not quoted. | src=report.md §What we measure
ME6  | route=result     | ref=§What we measure | First row, provisional (IPP wire codec, 2026-09-05): 1 declaration closed; ~2 review-hours (recalled); 0.5 declarations per review-hour; 5.5 agent-hours (timed); 11 commits; 4 bugs fixed; 1 checker blind spot found. | src=report.md §What we measure; restates OV12, WP8, WP3b, WP5; truth-maker: codec review doc (not held)

# ══ §Tests are code too ══
TC1  | route=method     | ref=§Tests are code too | A checker must not share code with what it checks; where it does it cannot see bugs in the shared code and a second check sharing nothing is needed — learned in the redaction work (two independent readers must agree) and in the codec (a shared toInt32 hid a bug for 10,000 checks). | src=report.md §Tests are code too; restates WP6; truth-maker: redaction + codec records (not held)
TC2  | route=method     | ref=§Tests are code too | A checker watches one channel and says nothing about the others; every checker states what it observes, and a partition is covered only when every channel a bug could live on has a checker. | src=report.md §Tests are code too
TC3  | route=result     | ref=§Tests are code too | Text gone from a PDF's content stream can still be in its metadata; bytes can be clean while the rendered page is not. | src=report.md §Tests are code too; truth-maker: redaction record (not held)
TC5  | route=result     | ref=§Tests are code too | Our 65/65 WPP result is the same shape — right answer, wrong channel. | src=report.md §Tests are code too; restates WP-65; truth-maker: WPP 65/65 record (not held)
TC6  | route=method     | ref=§Tests are code too | A refuter checks behaviour not design: a fix can pass its refuter and still be the wrong shape, and that judgement stays with a person. | src=report.md §Tests are code too; restates WP7
TC7  | route=method     | ref=§Tests are code too | Frozen is not forever: tests against a driver population go stale as drivers update (trigger: the corpus staleness figure); tests against an attacker go stale as models improve (trigger: a model release). | src=report.md §Tests are code too; restates SE5, SA7

# ══ §Succession ══
SU1  | route=method     | ref=§Succession | The point is an asset that outlives its author; right now the PDF method's most important part — knowing what to sample — is in one person's head. | src=report.md §Succession
SU2  | route=method     | ref=§Succession | The succession test: someone other than the author, using only the written procedure and the corpus, chooses what to sample for a new cell, and the author accepts it unchanged; until that has happened once the procedure is not written down. | src=report.md §Succession; names its falsifier
SU3  | route=method     | ref=§Succession | The asset must contain the sampling procedure, the corpus with each file's origin and cell, the tests with refuter records, the descriptions with review marks, and the staleness measurements; a partition missing any cannot be handed on. | src=report.md §Succession

# ══ §What this does not settle ══
NS1  | route=data-gap   | ref=§What this does not settle | Extraction is unsettled; the experiment above is its first test, on the easiest case. | src=report.md §What this does not settle
NS2  | route=data-gap   | ref=§What this does not settle | Whether tests are shorter than code for new behaviour is unknown (nearly certain for no-behaviour-change work). | src=report.md §What this does not settle; restates LP7
NS3  | route=data-gap   | ref=§What this does not settle | The before-method bug count that would make the PDF result evidence rather than anecdote is missing. | src=report.md §What this does not settle; restates DP4
