# Human adjudications — Part A objective claims judged for faithfulness to the held Part B
# (Slice 1, PLAN.md § Result — 15 Sept, Sonnet N=3; spec/SERVE.md § Adjudications).
# Format: ID | verdict | quote | page | initials | reason
# Read by the -review render from this example dir; shown beside the machine badge, and the
# index reports the agreement count over every adjudicated leaf that has a machine verdict.
#
# Initials say who stands behind the line. `cc` marks a draft this session wrote; a human promotes
# a draft by editing the line and replacing `cc` with their own initials. cc never files a line
# under a human's initials — an unread draft under `PW` would read as PW's own call.
#
# All 11 leaves came back non-faithful (5 predicted, 6 not — PLAN.md). Every verdict names a Part A
# clause the critic reports absent from Part B; each is PW's per-leaf call on real gap vs
# clause-level false positive (DORA precedent ~40% flag precision).

#   ID | verdict     | quote | page | initials | reason
IO-1-A | faithful    | it has so far failed to translate these assets into meaningful leverage | 28 | PW | "failed to translate" reads as "not yet", not a failed attempt; Part B p79 ("dispersed", "never leveraged in tandem") carries the same state. Overturned from overstated.
IO-2-A | unsupported | Without an extraordinary level of institutional capacity, it will be difficult to achieve any of the other objectives | 31 | PW | Part B p90 supports readiness/expertise/access; the "any of the other objectives" dependency and "high-stakes decisions under uncertainty and time pressure" framing not in B
IO-3-A | faithful | A 'European Way' of building AI compute should combine speed with respect for local community interests | 36 | PW | Part B IO-3 action: municipal revenue-sharing, community-infrastructure investment, operators bear incremental grid costs — the community-respect commitment is implemented, not merely noted. Judge saw only the "why it matters" block. Overturned from overstated
IO-4-A | faithful | overhauling Europe's ability to prevent and respond to AI crises and emergencies | 40 | PW | Part B IO-4 actions: CBRN action plan incl. preventing misuse of specialised tools, loss-of-control emergency plans and exercises, Crisis Coordination Hub, ACTION 04 revising national emergency-preparedness plans. Both legs implemented. Judge saw only the "why it matters" block. Overturned from partial.
IO-5-A | faithful | Transformative AI will likely be treated as a national security issue in addition to a commercial or scientific issue | 45 | PW | Part B IO-5 actions: security tiers vs RAND levels for model weights, export security requirements, SL5 data centre, compute-security research — the secure-access-controls commitment is implemented; the phrase "national security" is absent but the threat model is state-actor. Clause 2 ("underlying AI technology") is the judge misreading A's own referent (assurance tech). Overturned from partial.
O11-A | partial | export controls on Anthropic's most capable models | 50 | PW | Part B O1.1 carries compute-for-access, physical leverage and sovereignty (2857); it describes the episode only as access "suddenly withdrawn by foreign governments" (2761), naming neither Anthropic nor export controls. A is more specific than B. Whether it was in fact an export control is a grounding question. Upheld on this clause only.
O12-A | faithful | while ensuring that at-risk European companies can flourish without foreign capital | 53 | PW | Part B O1.2 ACTION: anti-capture facility via national public banks mobilising public and private capital "to keep a strategic asset under European control" — the alternative to foreign capital A promises. Judge read "private" as possibly foreign; the facility exists precisely so it isn't. Overturned from partial.
O21-A | absent | supply-side reform to improve economic conditions across the board is especially important … hard to predict where transformative AI will create most of its value | 57 | PW | Not found in Part B §O2.1 (pp141–161) by search or read. B argues for breadth on different grounds — reforms are "mutually reinforcing" and must be "a coherent package" — never on unpredictability of where value is created. A's rationale is its own. Upheld.
O22-A | unsupported | Experts disagree as to which layer of the AI value chain will create most of the value in the long term | 60 | PW | Not found in Part B §O2.2 (pp162–168) by search or read. B states the conclusion (spread bets; existing strengths "could wane") without the premise. Same shape as O2.1: A supplies a rationale B does not make. Upheld.
O31-A | absent | Europe must ensure that their enforcement is prioritised, targeted, proportionate, driven by frontier AI expertise, and insulated from political pressures | 64 | PW | Part B p169: "there are no detailed recommendations for this objective" — the implementation half declines the objective outright. As pre-registered. Upheld.
O32-A | unsupported | As long as Europe only controls a small part of AI value creation, its ability to absorb such a shock and safeguard the livelihoods of its citizens is limited | 68 | PW | Not found in Part B §O3.2 (pp169–173) by search or read. B supports displacement and livelihoods; the link from Europe's share of AI value creation to its capacity to absorb a labour shock is A's own. Upheld.
