tree — depth 3, max width 3, score 7.0 (target ≤20) ok

  2  Chapter 2 — Overview of Victoria's cultural and creative industries  [3]
    2.2.1  Loss of audiences and income  [1]
    2.2.2  Negative mental health impacts  [2]
      F12  COVID-19 led to worsening mental health in the industries, …  partial
      M3  According to Claire Febey of Creative Victoria, COVID-19 le…  absent
    2.2.5  Broader cost of living crisis  [2]
      F17  Ticket prices are a key barrier for people wanting to engag…  faithful
      M2  Witnesses said ticket prices have fallen since 2019.  contradicted
  3  Chapter 3 — Government investment in Victoria's cultural and creative industries  [2]
    3.3.5  Does Victoria get its fair share of federal funding?  [1]
    3.3.6  Regional Victoria is not getting its fair share  [2]
      F31  Regional Victoria does not receive its fair share of fundin…  faithful
      M1  Regional Victoria receives its fair share of funding from C…  contradicted

Full table: examples/vic-lceic/eval-refuter/audit.md
